Date,EREGL.IS,SISE.IS,TOASO.IS,FROTO.IS,THYAO.IS,GARAN.IS,AKBNK.IS,EKGYO.IS,BIMAS.IS,MGROS.IS
2016-03-29,,,,,,,,,,
2016-03-30,,,,,,,,,,
2016-03-31,,,,,,,,,,
2016-04-01,,,,,,,,,,
2016-04-04,,,,,,,,,,
2016-04-05,,,,,,,,,,
2016-04-06,,,,,,,,,,
2016-04-07,,,,,,,,,,
2016-04-08,,,,,,,,,,
2016-04-11,,,,,,,,,,
2016-04-12,,,,,,,,,,
2016-04-13,,,,,,,,,,
2016-04-14,,,,,,,,,,
2016-04-15,,,,,,,,,,
2016-04-18,,,,,,,,,,
2016-04-19,,,,,,,,,,
2016-04-20,,,,,,,,,,
2016-04-21,,,,,,,,,,
2016-04-22,,,,,,,,,,
2016-04-25,,,,,,,,,,
2016-04-26,,,,,,,,,,
2016-04-27,,,,,,,,,,
2016-04-28,,,,,,,,,,
2016-04-29,,,,,,,,,,
2016-05-02,,,,,,,,,,
2016-05-03,,,,,,,,,,
2016-05-04,,,,,,,,,,
2016-05-05,,,,,,,,,,
2016-05-06,,,,,,,,,,
2016-05-09,,,,,,,,,,
2016-05-10,,,,,,,,,,
2016-05-11,,,,,,,,,,
2016-05-12,,,,,,,,,,
2016-05-13,,,,,,,,,,
2016-05-16,,,,,,,,,,
2016-05-17,,,,,,,,,,
2016-05-18,,,,,,,,,,
2016-05-20,,,,,,,,,,
2016-05-23,,,,,,,,,,
2016-05-24,,,,,,,,,,
2016-05-25,,,,,,,,,,
2016-05-26,,,,,,,,,,
2016-05-27,,,,,,,,,,
2016-05-30,,,,,,,,,,
2016-05-31,,,,,,,,,,
2016-06-01,,,,,,,,,,
2016-06-02,,,,,,,,,,
2016-06-03,,,,,,,,,,
2016-06-06,,,,,,,,,,
2016-06-07,,,,,,,,,,
2016-06-08,,,,,,,,,,
2016-06-09,,,,,,,,,,
2016-06-10,,,,,,,,,,
2016-06-13,,,,,,,,,,
2016-06-14,,,,,,,,,,
2016-06-15,,,,,,,,,,
2016-06-16,,,,,,,,,,
2016-06-17,,,,,,,,,,
2016-06-20,,,,,,,,,,
2016-06-21,,,,,,,,,,
2016-06-22,,,,,,,,,,
2016-06-23,,,,,,,,,,
2016-06-24,,,,,,,,,,
2016-06-27,,,,,,,,,,
2016-06-28,,,,,,,,,,
2016-06-29,,,,,,,,,,
2016-06-30,,,,,,,,,,
2016-07-01,,,,,,,,,,
2016-07-04,,,,,,,,,,
2016-07-08,,,,,,,,,,
2016-07-11,,,,,,,,,,
2016-07-12,,,,,,,,,,
2016-07-13,,,,,,,,,,
2016-07-14,,,,,,,,,,
2016-07-15,,,,,,,,,,
2016-07-18,,,,,,,,,,
2016-07-19,,,,,,,,,,
2016-07-20,,,,,,,,,,
2016-07-21,,,,,,,,,,
2016-07-22,,,,,,,,,,
2016-07-25,,,,,,,,,,
2016-07-26,,,,,,,,,,
2016-07-27,,,,,,,,,,
2016-07-28,,,,,,,,,,
2016-07-29,,,,,,,,,,
2016-08-01,,,,,,,,,,
2016-08-02,,,,,,,,,,
2016-08-03,,,,,,,,,,
2016-08-04,,,,,,,,,,
2016-08-05,,,,,,,,,,
2016-08-08,,,,,,,,,,
2016-08-09,,,,,,,,,,
2016-08-10,,,,,,,,,,
2016-08-11,,,,,,,,,,
2016-08-12,,,,,,,,,,
2016-08-15,,,,,,,,,,
2016-08-16,,,,,,,,,,
2016-08-17,,,,,,,,,,
2016-08-18,,,,,,,,,,
2016-08-19,,,,,,,,,,
2016-08-22,,,,,,,,,,
2016-08-23,,,,,,,,,,
2016-08-24,,,,,,,,,,
2016-08-25,,,,,,,,,,
2016-08-26,,,,,,,,,,
2016-08-29,,,,,,,,,,
2016-08-31,,,,,,,,,,
2016-09-01,,,,,,,,,,
2016-09-02,,,,,,,,,,
2016-09-05,,,,,,,,,,
2016-09-06,,,,,,,,,,
2016-09-07,,,,,,,,,,
2016-09-08,,,,,,,,,,
2016-09-09,,,,,,,,,,
2016-09-16,,,,,,,,,,
2016-09-19,,,,,,,,,,
2016-09-20,,,,,,,,,,
2016-09-21,,,,,,,,,,
2016-09-22,,,,,,,,,,
2016-09-23,,,,,,,,,,
2016-09-26,,,,,,,,,,
2016-09-27,,,,,,,,,,
2016-09-28,,,,,,,,,,
2016-09-29,,,,,,,,,,
2016-09-30,,,,,,,,,,
2016-10-03,,,,,,,,,,
2016-10-04,,,,,,,,,,
2016-10-05,,,,,,,,,,
2016-10-06,,,,,,,,,,
2016-10-07,,,,,,,,,,
2016-10-10,,,,,,,,,,
2016-10-11,,,,,,,,,,
2016-10-12,,,,,,,,,,
2016-10-13,,,,,,,,,,
2016-10-14,,,,,,,,,,
2016-10-17,,,,,,,,,,
2016-10-18,,,,,,,,,,
2016-10-19,,,,,,,,,,
2016-10-20,,,,,,,,,,
2016-10-21,,,,,,,,,,
2016-10-24,,,,,,,,,,
2016-10-25,,,,,,,,,,
2016-10-26,,,,,,,,,,
2016-10-27,,,,,,,,,,
2016-10-28,,,,,,,,,,
2016-10-31,,,,,,,,,,
2016-11-01,,,,,,,,,,
2016-11-02,,,,,,,,,,
2016-11-03,,,,,,,,,,
2016-11-04,,,,,,,,,,
2016-11-07,,,,,,,,,,
2016-11-08,,,,,,,,,,
2016-11-09,,,,,,,,,,
2016-11-10,,,,,,,,,,
2016-11-11,,,,,,,,,,
2016-11-14,,,,,,,,,,
2016-11-15,,,,,,,,,,
2016-11-16,,,,,,,,,,
2016-11-17,,,,,,,,,,
2016-11-18,,,,,,,,,,
2016-11-21,,,,,,,,,,
2016-11-22,,,,,,,,,,
2016-11-23,,,,,,,,,,
2016-11-24,,,,,,,,,,
2016-11-25,,,,,,,,,,
2016-11-28,,,,,,,,,,
2016-11-29,,,,,,,,,,
2016-11-30,,,,,,,,,,
2016-12-01,,,,,,,,,,
2016-12-02,,,,,,,,,,
2016-12-05,,,,,,,,,,
2016-12-06,,,,,,,,,,
2016-12-07,,,,,,,,,,
2016-12-08,,,,,,,,,,
2016-12-09,,,,,,,,,,
2016-12-12,,,,,,,,,,
2016-12-13,,,,,,,,,,
2016-12-14,,,,,,,,,,
2016-12-15,,,,,,,,,,
2016-12-16,,,,,,,,,,
2016-12-19,,,,,,,,,,
2016-12-20,,,,,,,,,,
2016-12-21,,,,,,,,,,
2016-12-22,,,,,,,,,,
2016-12-23,,,,,,,,,,
2016-12-26,,,,,,,,,,
2016-12-27,,,,,,,,,,
2016-12-28,,,,,,,,,,
2016-12-29,,,,,,,,,,
2016-12-30,,,,,,,,,,
2017-01-02,,,,,,,,,,
2017-01-03,,,,,,,,,,
2017-01-04,,,,,,,,,,
2017-01-05,,,,,,,,,,
2017-01-06,,,,,,,,,,
2017-01-09,,,,,,,,,,
2017-01-10,,,,,,,,,,
2017-01-11,,,,,,,,,,
2017-01-12,,,,,,,,,,
2017-01-13,,,,,,,,,,
2017-01-16,,,,,,,,,,
2017-01-17,,,,,,,,,,
2017-01-18,,,,,,,,,,
2017-01-19,,,,,,,,,,
2017-01-20,,,,,,,,,,
2017-01-23,,,,,,,,,,
2017-01-24,,,,,,,,,,
2017-01-25,,,,,,,,,,
2017-01-26,,,,,,,,,,
2017-01-27,,,,,,,,,,
2017-01-30,,,,,,,,,,
2017-01-31,,,,,,,,,,
2017-02-01,,,,,,,,,,
2017-02-02,,,,,,,,,,
2017-02-03,,,,,,,,,,
2017-02-06,,,,,,,,,,
2017-02-07,,,,,,,,,,
2017-02-08,,,,,,,,,,
2017-02-09,,,,,,,,,,
2017-02-10,,,,,,,,,,
2017-02-13,,,,,,,,,,
2017-02-14,,,,,,,,,,
2017-02-15,,,,,,,,,,
2017-02-16,,,,,,,,,,
2017-02-17,,,,,,,,,,
2017-02-20,,,,,,,,,,
2017-02-21,,,,,,,,,,
2017-02-22,,,,,,,,,,
2017-02-23,,,,,,,,,,
2017-02-24,,,,,,,,,,
2017-02-27,,,,,,,,,,
2017-02-28,,,,,,,,,,
2017-03-01,,,,,,,,,,
2017-03-02,,,,,,,,,,
2017-03-03,,,,,,,,,,
2017-03-06,,,,,,,,,,
2017-03-07,,,,,,,,,,
2017-03-08,,,,,,,,,,
2017-03-09,,,,,,,,,,
2017-03-10,,,,,,,,,,
2017-03-13,,,,,,,,,,
2017-03-14,,,,,,,,,,
2017-03-15,,,,,,,,,,
2017-03-16,,,,,,,,,,
2017-03-17,,,,,,,,,,
2017-03-20,,,,,,,,,,
2017-03-21,,,,,,,,,,
2017-03-22,,,,,,,,,,
2017-03-23,,,,,,,,,,
2017-03-24,,,,,,,,,,
2017-03-27,,,,,,,,,,
2017-03-28,,,,,,,,,,
2017-03-29,,,,,,,,,,
2017-03-30,0.547202171755156,0.566827964395147,0.5329783141759133,0.6072951583477099,0.5538309986978387,0.561958958990581,0.5099035568198201,0.7486067496169221,0.5529588883983332,0.6427324062138613
2017-03-31,0.5507519907031305,0.5356785700086912,0.5019068806385196,0.5791582706015697,0.5501950079244539,0.5428790978760768,0.5035904510832192,0.7575687757482931,0.5021521509266637,0.6739981752957361
2017-04-03,0.58921602924751,0.563885995288799,0.5214758033660866,0.6216427100621736,0.5593206464267937,0.5334361195321098,0.5086039951534843,0.7436553641149978,0.5279672439723769,0.6376625827485713
2017-04-04,0.5820707540188014,0.5670839670291291,0.5468198914616461,0.587509768400058,0.5742274281496463,0.5544634154080218,0.5033526809252106,0.74320309065207,0.5296610587723253,0.6466643962398538
2017-04-05,0.5938721661362575,0.5358787600208331,0.5102099056363759,0.5629401689284709,0.5673618918260378,0.5544658531602759,0.5067311263615403,0.7524521564233827,0.5182257279074272,0.6591615686778409
2017-04-06,0.5894208408441627,0.5488760512159513,0.5009582057901772,0.5871427705686504,0.5575710359885192,0.5360173091673902,0.5146885534275739,0.747791767008747,0.5065849927830112,0.6638896856337765
2017-04-07,0.5323886256552268,0.5639817718000317,0.5187836402904075,0.5934596905384987,0.5534301575813797,0.566907771287222,0.5099255369659399,0.7546617761099235,0.5061109585271474,0.6567193992811872
2017-04-10,0.5499934427144985,0.5594924001875079,0.5209080393324611,0.5958784168974188,0.5394065114076086,0.609742569801501,0.5664624161702609,0.7326711051183276,0.5541281732287301,0.6427001904550311
2017-04-11,0.5822720230934665,0.5614338772062983,0.5715915338856955,0.6300300954839914,0.531150751410352,0.5621199297294249,0.538257384453592,0.7220976280348119,0.5484562514535206,0.6434115876457458
2017-04-12,0.5748955198156257,0.5841920919171227,0.5688404411836777,0.611929815840597,0.5273540296690021,0.5770376930757403,0.5635053415787162,0.7153693678414461,0.561746951159258,0.6422446687237232
2017-04-13,0.5894049921183909,0.5895440727722582,0.5456117614392187,0.6141345908536419,0.5555087345000633,0.5973263060145377,0.5745394462371879,0.6950974156875264,0.5485563724355146,0.646499482969167
2017-04-14,0.5848639095322291,0.5834867710302861,0.5436253954362605,0.5959940399017681,0.5636279604484655,0.6232799822602783,0.5841266265609147,0.7049324803149949,0.5370952895789499,0.626980366745704
2017-04-17,0.5465628104882532,0.5965334397811776,0.5769809228276228,0.5762210926123107,0.5700063381138049,0.6271702671150524,0.5765733737917139,0.7018855023939272,0.567180990124137,0.6252234245545999
2017-04-18,0.5318381693071847,0.576414555625724,0.5566827493853358,0.578691483149547,0.5635736343349772,0.6230638910495737,0.5945889665209024,0.7106443470470086,0.5899564348966462,0.6194000511061817
2017-04-19,0.518026081848236,0.5625534577408334,0.5623705039924024,0.5683430549049716,0.5611423696642328,0.606949543329197,0.5796824865770016,0.714383120673034,0.6032482148077841,0.6420076559305476
2017-04-20,0.52344068898182,0.5672891364542204,0.5359688519580513,0.5477779098361663,0.5623012245490017,0.6054339520562623,0.5922061696896689,0.6936793901849744,0.607538617696922,0.6728621743267894
2017-04-21,0.5345603517750955,0.5457666938355482,0.5258426504738553,0.5488083615215058,0.601920483547994,0.6177136741651046,0.5886264120166337,0.6817760003136167,0.592989105104563,0.676021536399718
2017-04-24,0.5041421126442556,0.5503329464968478,0.5180613492256472,0.538415819316495,0.5589282076506029,0.6300851658051847,0.607416588990391,0.6965245273198152,0.6059641006003292,0.6580356698254273
2017-04-25,0.5209945889492478,0.5448485825441182,0.503279206983137,0.535134649945219,0.593326445962764,0.6241744683180662,0.5907556426470896,0.7089123537249472,0.579213627173918,0.6585208665292618
2017-04-26,0.5326740232257098,0.5434267956339228,0.5294942111898634,0.5124822480634251,0.5330043147613844,0.6099583125588862,0.5828396145104525,0.7016388028023447,0.5975558647720363,0.6921302869279281
2017-04-27,0.5605696685022469,0.5240356285464545,0.5198398397147322,0.5031571704731982,0.5667458481104167,0.5608711789756902,0.5309283192099837,0.7158085260852802,0.5795794989962291,0.7108033248625291
2017-04-28,0.5692005573415321,0.5478380249153726,0.5255311315174379,0.528668066606679,0.5597936420324386,0.5534662252986126,0.5207839504952017,0.7172059130822777,0.5785813729527329,0.7057690217233588
2017-05-02,0.5262253820262673,0.5156456091471747,0.5097601600990919,0.5351660155690986,0.5732306906949765,0.5606324280023328,0.5127343305428758,0.7220297124287899,0.5519095041465678,0.7182972001778425
2017-05-03,0.5339816130669043,0.5175358941256608,0.5343554149071718,0.5385077664196553,0.5563708308213693,0.5236704523764331,0.51085043442178,0.722805196190729,0.5489810332894257,0.7260281420788005
2017-05-04,0.5496219519041923,0.5328528544760097,0.5380376745750054,0.5682388379870118,0.5271623647573278,0.5104884849835446,0.5284600164879655,0.7386422474507838,0.5239272431509295,0.7056347468403513
2017-05-05,0.5308632610368917,0.534351560858899,0.558885555569358,0.5531293348733867,0.5354282749223902,0.5136564485852209,0.5207988709849348,0.7369276925036222,0.5371184269811645,0.7080902261861534
2017-05-08,0.5639811702479138,0.5275139678855091,0.5229306599529596,0.5160575528112232,0.5365189862678469,0.5049125045080654,0.5373234535766107,0.7400277810797452,0.5385757177803732,0.7088650555503597
2017-05-09,0.6150550775336895,0.5315095073524253,0.563537597294176,0.5260066800077154,0.521445873495494,0.5111370225612608,0.5533628970871709,0.751682376085763,0.5052782137577596,0.6592601079887738
2017-05-10,0.597573805494897,0.5027268130070025,0.5301000580716305,0.5246775325105265,0.5100453674760973,0.5364956554335555,0.5648375554592415,0.7665833355071188,0.563965788780515,0.6388271810592472
2017-05-11,0.5858323050393874,0.543374065985112,0.5237616715444501,0.5201514702613864,0.5125881216934356,0.5408695451953295,0.561507656813004,0.760597639417163,0.5799651932565605,0.6448253567340648
2017-05-12,0.5577319807470844,0.5513244661921889,0.5272357711132096,0.5090953907674819,0.5085988871100031,0.5462534229112636,0.5745073273043829,0.7450312535611431,0.6100874449459613,0.6561896051272794
2017-05-15,0.5219806944488692,0.5746093066364139,0.529958674701892,0.5080426671093626,0.5244856478315745,0.5452781190118233,0.5817365423350523,0.7416691844120266,0.6301228988657092,0.6394013055688651
2017-05-16,0.528463113278126,0.5558853049191838,0.51966605350994,0.5149514660264124,0.5547686880117318,0.546408380799059,0.5724902539056064,0.7535833746105688,0.5771239887951124,0.6609555017946075
2017-05-17,0.5367046074845037,0.5690236205686209,0.5367135614552002,0.5180923379940567,0.5709685678904034,0.5355811741876838,0.5570588169130557,0.74893774251698,0.5479362889614369,0.6717505481620116
2017-05-18,0.5560704939805272,0.5795926753385077,0.525176271834948,0.5442083976366039,0.567162235097706,0.5421252802100106,0.5693597860680538,0.7442182158563454,0.568675132188614,0.653587415000607
2017-05-22,0.5773822846053976,0.5445387462014629,0.5298736288833058,0.526066526230416,0.5623669137568763,0.5394354615371906,0.5706203382749613,0.7443782801023283,0.5589264803093945,0.6671598101550704
2017-05-23,0.5493481314743125,0.5296186835279996,0.5408025309059631,0.5242605005271653,0.59671552460238,0.5422856209843394,0.5631186305756508,0.7383669825323934,0.5599167554375802,0.6732351704832399
2017-05-24,0.5224895721251092,0.5554681554105688,0.5784509698059419,0.5242377709488367,0.6048524678048504,0.5140557241886962,0.533420050428521,0.7311063065455491,0.511552917243828,0.6869077093331887
2017-05-25,0.5099934192491037,0.5608659420085986,0.593159853639616,0.5604374979179497,0.6431731167230273,0.5087730564084546,0.5211670124480595,0.7210635006562428,0.5364440017058311,0.6541244413837619
2017-05-26,0.5098419083618708,0.5578273629213472,0.5776005915165613,0.556985698285144,0.6402469792071108,0.5192755481690638,0.5451473176538517,0.7202058373229009,0.5531718039385921,0.6581269385186008
2017-05-29,0.502286800299623,0.556411905497684,0.5879167684702944,0.5625144289146476,0.653536387168424,0.5177137088546692,0.5387339526781624,0.7110960994283616,0.5520140553533556,0.6537258100270487
2017-05-30,0.5058669835450633,0.5543175291654767,0.5665582076309534,0.5478740727152721,0.6468091773005632,0.5355516517320708,0.554251746873788,0.7059120998886393,0.5361838142683583,0.6787042416513892
2017-05-31,0.5035383449942138,0.5600643474688202,0.5534482415588882,0.5192484711672011,0.6230088671805638,0.5460852752088226,0.5646651941322101,0.7172294886445917,0.5357827762416765,0.685359024814867
2017-06-01,0.5283837646192154,0.5469993556888862,0.5446303149604291,0.5043255261528804,0.6073651247518153,0.5563094746529097,0.5652786681241402,0.7128912423252305,0.5629148953723947,0.694539615021709
2017-06-02,0.5065649252877701,0.5666490722222418,0.5560626553946458,0.5047775647639886,0.6021852970640046,0.5582696977684515,0.5749636106449417,0.7227742206829034,0.5758382532603269,0.6691849224681506
2017-06-05,0.5120456552165079,0.5428021319420245,0.5784537821285103,0.531031804067981,0.6522915858214808,0.551278077033679,0.5742326438961822,0.6993491300200677,0.5629473569031758,0.6642587072632312
2017-06-06,0.5179974775094445,0.5782044828187968,0.5761336663687858,0.5144445648223106,0.6816630359546351,0.544574939925147,0.5591326749291153,0.7076633046594507,0.506363829831292,0.6304479842532253
2017-06-07,0.5196909007701556,0.5748899987816869,0.5673479103174647,0.5323808029545385,0.6767316913594589,0.5324727324141479,0.5503891863850948,0.7200882440745912,0.5505011333461857,0.6171058126716443
2017-06-08,0.5082466792038116,0.5562415207991486,0.5561636736353076,0.5114537202443775,0.6831755511031954,0.5394642192186945,0.5513667635242155,0.7204921289551903,0.5244170740154709,0.6327863879983459
2017-06-09,0.5212112401875885,0.5594903047538502,0.5578803875783976,0.5026161373847826,0.6866138729568542,0.5557140937707592,0.5499786502728398,0.7232262677648874,0.5006436193215059,0.6162242247823024
2017-06-12,0.5323634613395344,0.5471637833190767,0.5644044645558083,0.5114682616946817,0.6802318187962472,0.5459721279858275,0.537474941177705,0.7377025609620141,0.5096201935334229,0.6047065759983924
2017-06-13,0.5314285177289712,0.5349984847399394,0.5524128690143524,0.5466404088362044,0.637536141087371,0.546511746801602,0.5152132687074549,0.7659449455004529,0.5225739126275982,0.6069053650037782
2017-06-14,0.5154377457488282,0.5357640981038102,0.5538109441784927,0.549960456301335,0.6546669792156298,0.5325624188736474,0.5111161043631616,0.7633343690847654,0.5517954279788165,0.584074620649304
2017-06-15,0.5323403882443949,0.5135531376843067,0.521333639336755,0.5668348984592956,0.6327316423570043,0.5407359520793665,0.5243546028621836,0.7639190601012812,0.5617602267607443,0.6078037373626305
2017-06-16,0.5510388334926305,0.5135495547504285,0.5359500338992432,0.5616329833311577,0.6414509802344445,0.5387241919928399,0.5133232056788299,0.7525205241359959,0.5522452510541032,0.6226780198294054
2017-06-19,0.5415866827749048,0.5246960712365728,0.5511643479433062,0.5316208204262175,0.6447399295161685,0.5472422689742366,0.5016207935918079,0.7358862170664803,0.5113406253459077,0.6618612766422537
2017-06-20,0.545528246864169,0.5229751106939929,0.5618738280360421,0.5572839389918193,0.6580825187776342,0.5326186403129605,0.5000435581280742,0.7399914640380811,0.50867843276354,0.6329486198961923
2017-06-21,0.5115362432770932,0.5089393030851992,0.5537164736137652,0.5463383424831375,0.7025455010238947,0.5338474308504303,0.5028764555696531,0.7347396545519138,0.5042173013708698,0.5925544160701527
2017-06-22,0.5079254386694246,0.5342678793555226,0.547892073288002,0.5534778908485353,0.7149006376579669,0.5150605646365803,0.5109340611767599,0.7322599834397622,0.5067283064173488,0.5648216561233784
2017-06-23,0.5022479545217946,0.5410886965625085,0.5457881248458315,0.5586026644280179,0.7395699902594628,0.5477954911094843,0.5220150240475223,0.6951559563464026,0.5171783258475451,0.5730969185936083
2017-06-28,0.5590300617094519,0.5513428622430205,0.5713395787018863,0.5232505422452164,0.7572481948208359,0.5334749251237022,0.5273964653561133,0.6609826381654947,0.5493846574377946,0.5543923282525074
2017-06-29,0.5914183006933998,0.5631743638039329,0.582808833195965,0.5484452329286166,0.733394743811901,0.536853865115324,0.5330775278888137,0.6709010174269867,0.534050654727133,0.5476079847242379
2017-06-30,0.5775795608285298,0.5559269990843871,0.5816019243512659,0.5205759981791583,0.7527143921982221,0.5515165278701958,0.541141630048319,0.6493959471752415,0.5300277380545025,0.5587408153780014
2017-07-03,0.5758511694240598,0.5322518067409453,0.5768622810787426,0.519036197316012,0.7519254240476037,0.5480258708364149,0.5387271483874742,0.6638614004059684,0.5373638436233498,0.5502795602852195
2017-07-04,0.5596800392637109,0.534262003586799,0.5833740275031855,0.5240309217468517,0.7654903517746049,0.531513710744889,0.5300807538566105,0.6581073788882272,0.5323457213352109,0.5204822831297544
2017-07-05,0.5887546717117919,0.5189911256684989,0.6000302525158754,0.5104139131728508,0.7609039965298035,0.5351140205622086,0.528278552853283,0.648997991244311,0.5184751017109587,0.510642289486391
2017-07-06,0.5621942844020476,0.5090768851937658,0.6059191452160634,0.5047293274167628,0.7659177814134916,0.5493515788463839,0.5216467721606618,0.6491085438010749,0.5046579188091408,0.5069194507947885
2017-07-07,0.5681722815060463,0.5260822877798644,0.5987759043897783,0.5004127139748337,0.7771249035642632,0.5413704907943993,0.5310530395218027,0.6278971317852072,0.5092771110161424,0.5104285058082815
2017-07-10,0.5821842763038958,0.5219687701560587,0.5833656401758053,0.5235613263722249,0.7793126524055883,0.5388635935074899,0.5317643188326447,0.6224016617867584,0.5256693024177254,0.5139023154607772
2017-07-11,0.591232590346875,0.5279386253660091,0.5975575203254345,0.5382310804375574,0.7718977210383607,0.5213180977854754,0.5128056760316978,0.6236191807994294,0.5337097209294571,0.5079504097101748
2017-07-12,0.6044920472209692,0.5259135401071187,0.6117306659650764,0.5490460486916063,0.7605313822395726,0.556957385382738,0.5308667904556726,0.6098200384247281,0.5028215073071979,0.5221325468735963
2017-07-13,0.6130651397554422,0.522665374954344,0.6149969845269118,0.5492799779221921,0.7618968641637207,0.5559949129233537,0.5434710919687612,0.5906957529398894,0.511532444713573,0.5136745360298619
2017-07-14,0.6035356835660656,0.5172176514622122,0.616062212785114,0.538316678367967,0.7657896154312508,0.559723041276818,0.5494030290920142,0.5918350440059968,0.5041240626980626,0.5073564206908685
2017-07-17,0.6023376799293538,0.5215288721140398,0.5972135103920587,0.5372663388651947,0.7707274137495919,0.5649329258372264,0.5435206241973588,0.5975994768498935,0.5186453897970646,0.507642044373891
2017-07-18,0.6118972319513003,0.5280378779333341,0.6010622865772294,0.5140577641966196,0.7631912794699652,0.5866194271788495,0.5589638239809813,0.5835761613477914,0.5101796103829163,0.5074084401764565
2017-07-19,0.6063795298565539,0.5323104772613457,0.617298134076062,0.5126981593275072,0.7620311018089514,0.5752683138942128,0.547773133630491,0.590034338903452,0.5102708189130044,0.5032988934854391
2017-07-20,0.5918653531499799,0.5304293937994694,0.6080635422001843,0.5211892035716118,0.7654779457281112,0.586114848966849,0.5701109961486245,0.5781833131192952,0.515094390537615,0.521653608390328
2017-07-21,0.6049443745830992,0.5450517474185876,0.6056327263734628,0.5120840658350252,0.7629505948395714,0.5780528352553207,0.5717822031868866,0.5777752811892687,0.5051538518905206,0.5173300379453604
2017-07-24,0.596175977999279,0.5332472516844162,0.6144287867399588,0.5101161953213621,0.7652693372080455,0.5726869650931992,0.5755895281505726,0.5767940381724427,0.5165378405395332,0.5048796094150941
2017-07-25,0.6067160001510401,0.535753210499644,0.613755298508548,0.5033842123011999,0.7562475758786728,0.5689293108238725,0.5770145032945683,0.5933491487924404,0.5128137791731905,0.5164083290173697
2017-07-26,0.6076168452982565,0.5313137490735574,0.6056716288385126,0.5046433509481062,0.7438743894482105,0.5858280509761272,0.5947316326227663,0.5984903370539909,0.524877615193624,0.5350231976767571
2017-07-27,0.5835192428954558,0.5398119174109729,0.5942465942999691,0.5112189172348859,0.7582730780900099,0.5783030557050565,0.5961545223269132,0.5881062408250223,0.5054891209707905,0.5605598058465637
2017-07-28,0.5670033823829069,0.5513248852517592,0.596647243828542,0.5094881822543414,0.7538495933420859,0.5921648323004487,0.5989115723953139,0.5849098436128749,0.5356853516810015,0.5579318677286029
2017-07-31,0.5393458483399672,0.5461505405483733,0.6206690432016398,0.5067746572193959,0.7698931569309956,0.5610684148565132,0.5658170273046745,0.5912262743686894,0.5312322713273185,0.5512346809010046
2017-08-01,0.5391822569839065,0.5451180651033304,0.6333772387419762,0.5014094752843874,0.7599301487648239,0.5611251640508669,0.5726509174875742,0.5896202066330448,0.5500017388338956,0.5513679721497791
2017-08-02,0.5560249855055404,0.5566716577243128,0.6233493677692711,0.5105106547220015,0.756390605196139,0.5697580664875358,0.5658033480257668,0.5992988567983171,0.5603746668334582,0.5315803845480643
2017-08-03,0.6024865989952447,0.5609826937078282,0.6278469015778674,0.5126812760540272,0.7491980188913225,0.5653382944571328,0.5688238963604358,0.5827658430689514,0.5433608286115222,0.5233934587281535
2017-08-04,0.6036546548680757,0.5304917228872272,0.6260551691606887,0.553200540272701,0.758612295859534,0.5645076033911519,0.5596247480268536,0.5693489295314743,0.5358432907256973,0.5051184718167896
